-9.1319	2.0514	-0.13116	0.083726	-0.041863	-0.77206	-9.4262	-4.9999	0.25788	-0.90807	0.16896	16.897	-4.5726	-9.6717	-12.136	-1.9945	0.54611	-0.5902	0.71663	0.31466	109.19	-32.688	-92.435	0
-8.6028	1.8569	-0.34867	0.17164	-0.0083726	-4.5976	-9.2246	-2.653	0.31354	-0.87992	0.18664	13.863	51.054	-4.8282	-9.2323	-1.5408	-1.077	-0.5902	0.71663	0.31466	105.76	-52.213	-88.337	0
-8.4785	1.701	-0.8048	0.26374	0.058608	-5.0019	-8.991	-3.0621	0.31354	-0.87992	0.18664	10.834	47.048	-0.10995	-6.5812	-1.7471	-2.7124	-0.70784	0.64271	0.19612	101.54	-43.508	-93.202	0
-8.0197	1.997	-0.65185	0.36421	0.054422	-2.7488	-9.2327	-2.4787	0.31354	-0.87992	0.18664	8.8396	22.664	0.17377	-5.0034	-1.7464	-3.6394	-0.70784	0.64271	0.19612	93.368	-16.875	-105.91	0
-7.335	1.597	-0.37206	0.47724	0.13396	-2.9888	-8.9681	-2.7491	0.26902	-0.8743	0.25344	8.5904	10.74	2.4625	-4.1554	-1.8952	-3.5218	-0.70784	0.64271	0.19612	81.305	15.553	-123.8	0
-7.6271	1.053	-0.81049	0.44793	0.15071	-2.6586	-9.3447	-3.7751	0.26902	-0.8743	0.25344	5.9805	-0.42678	5.2238	-5.3079	-0.70171	-3.1705	-0.77255	0.55236	0.125	64.867	23.501	-144.06	0
-7.9656	1.3127	-0.85028	0.29723	0.13396	-2.1167	-9.5237	-3.8515	0.26902	-0.8743	0.25344	2.4938	-10.667	7.1275	-6.0549	0.67273	-1.7268	-0.77255	0.55236	0.125	38.779	-1.14e-005	-179.01	0
-7.9866	1.8557	-0.62247	0.13815	0.037677	-1.1409	-9.7175	-4.4244	0.27273	-0.87054	0.26916	-1.2773	-10.079	6.4755	-9.9051	0.98841	0.84109	-0.77255	0.55236	0.125	2.8837	-52.747	-226.49	0
-8.8374	2.4775	-0.019133	0.096285	0.020931	-0.40657	-10.038	-4.7768	0.27273	-0.87054	0.26916	-4.1168	-1.0597	4.8548	-16.633	-1.969	3.0995	-0.77255	0.55236	0.125	-33.364	-140.69	-272.55	0
-9.0245	2.7379	0.014831	0.07954	0.037677	-0.22234	-9.8973	-4.5804	0.27273	-0.87054	0.26916	-7.3508	12.367	4.3523	-20.209	-5.3892	4.0847	-0.8549	0.30595	0.24353	-66.34	-224.64	-280.31	0
